gloss_en,gloss_pt,ndb_rc_m05,ndb_rn_m05,ndb_rc_eppsob,daw_eppsob,daw_m05,hup_ramepps,hup_m05,yhp_silva,yhp_m05
sweet,Doce,kʼә:h kʼә̰:h,kʼә̰:h,eg?:h,kəh,kʼәh,kʼә́h,kʼә̰h,kәәh,kʼә̰h
thin,Fino,ʃa̰:p ʃa:b,,sawasa:b,ʃə̌p foɾ mbateɾial e.g. wood cloth etc.,ʃә̌:p,sәsә̀w,cә̌:p,,cә̂:p
dry (tree),Seco (arvore),to:h tɔgŋ,to:h,bʼa: to:h,tɔ̌h,tɔ̂:,tᴐ́,tɔ,tᴐ,tɔ̂:
canoe,Canoa,ho̰:h,hɔ̰:h,hʼo:h,xɔ̂,xɔ̂:,hᴐ́p,hɔ̌:h,hᴐ́h,hɔ̂:h
hook,Gancho,kә:ʔ,kʼa̰:h,,kɔ̂,kʼɛ̌:ʔ,,,,
circle,Peconha,põ̰:d,po̰:d,,pɔ̌t,pɔ̌:t,pᴐ̀t,pɔ̌:t,pᴐ́t,pɔ̂:t
blowgun,Zarabatana 2,ʃo̰:w,ʃo̰:w,sʼo:w,,,,,,
tree (generic),Arvore (generico),bʌ̰:h,ba̰:h,bʼa:h,bɛ̂,bɛ̂:,,,,
embira (tree w/ cloth-like bark) (familia das anonaceas),Embira 1,ʃɨ̰:b,ʃɨ̰:b,sʼɨ:b,ʃɨ̌p,ʃɨ̰:p,,,sɨɨp,ʃɨ̰:p
fish poison plant/vine (plantas ictiotoxicas),Timbo (generico),dṵ:j,dṵ:j,dʼu:j,dǔʃ,dǔ:ʃ,ndʼùç,dʼṵ:ç,,dʼṵ̂:jʰ
tree trunk?,Cerne 1,cʼɨ̰:d,cʼɨ̰:d,,cǎt aɾvoɾe duɾo,cʼǎ:t,,,,
flower,Flor,cʼo̰:h,cʼo̰:h,cʼo:h,cɔ̂,cʼô̰:,,cʼô̰:,,cʼô̰:h
leaf,Folha,kʼa̰:d,kʼa̰:d,gʼa:d,kɛ̌t,kʼɛ̰̌:t,kʼɛ̀t,kʼɛ̰̌:t,kɛɛt,kʼɛ̰̂:t
mushroom,Cogumelo (sp.),pәbm,pәbm,bʼa: pәbm,pəm’,pәb pәbmʔ,pàç,pәbʔ,,pәbʔ
chili pepper (Capsicum sp.),Pimenta 2,po̰:h,pɔ̰:h,pʼo:h,,,,,,
rubber,Borracha,tʌg,tʌg,bʼa: tʌg,tǎk,tǎ:k,tàk,tǎ:k,ták,tǎ:k
curare poison,Veneno 2 (sp.),pɨ̰:bm,pɨ:bm,pʼɨ:bm,wɨbm stɾong,,nàm,pɨ̌:bm,,pɨ̌:bm
tapir,anta (tapirus terrestris),tʌ̰:gŋ,tʌ̰:kŋ,tʼә:gŋ,tǎx,tǎ :x,tàh,tǎ :h,tàhtáh,tǎ :h
buriti palm,Buriti,cʼʌ̰:g,cʼʌ̰:g,cʼә:g,cǎk,cʼǎ:k,sʼàk,cʼǎ̰:k,saák,cʼâ̰:k
snake sp.,Cobra (sp.),ʔawɨ̰:ʔ,ʔawɨ̰:h,awʼɨ:,,,,,,
grow; climb,Crescer 2; subir,ʃә̰:g,ʃә̰:g,asә:k,ʃǎk,ʃâ:k,sak,cak,sak,
stand,Estar em pe,gә̰:d,gә̰:d,ag?:t,kə̌t,kә̌t,kʼet,cakʔet,,kʔedʔ
man,Homem 1,ʔajɨ̰:ʔ ʔajɨ:ʔ,ʔajɨ̰:h,ajʼɨ:,,,tiyìʔ,tijǐ:ʔ,yí’,jî:ʔ
name,Nome,hʌd hʌt,hʌ̰:d,hʌd,xǎt,xǎ:t,hàt,hǎ:t,hát,hǎ:t
bird,Passaro (generico),tawә̰:d,tәwә̰:d,tawʼә:d,təwə́t,tәwә̌t,wɛ̀y,wě:t,wét,wê:t
achiote; anatto,Urucum,hә̰:w,hә̰:w,hʼ?:w,hə̂w,hә̂:w,hә̀w,hә̌:w,hә́w,hә̂:w
old woman,Velha,wahәh wahɨ̰:h wah,,wahʼ?:,ʔãjhən ʔãjwâ ʔãjwǎh,,wá,wâ:,wәhә́h,tәwәhә̌:h
