gloss_en,gloss_pt,ndb_rc_m05,ndb_rn_m05,ndb_rc_eppsob,daw_eppsob,daw_m05,hup_ramepps,hup_m05,yhp_silva,yhp_m05
peel,Descascar,,,,ʃĩm’ wet manioc banana etc.,ʃĩ̌:mʔ,,cɨ̃̌:mʔ,sĩim’,cĩmʔ
peel,Descascar 1,k ʼ ɔ̃p  k ʼ ɔ̃b ,,,kob inga abiu take out of pod/hull,k ʼ ob,,k ʼ obm,,
wrap up,Embrulhar,,c ʼ әʔ,,cəʔ w/ leaves papeɾ xop idn blanket,c ʼ әʔ,,c ʼ әʔ,,
meet,Encontrar,wɨ̰:t wɨ:d,wɨ:d,,wəj’ wɨ̂d chegaɾ,wɨ̂:d,,,,
tickle,Fazer cocegas,ʃɨ̰:t ʃɨ:d,,,ʃîd,ʃî:d,sisídn,cicî:dn,sisidn,cicidn
smoke,Fumar,ʔahũ:t ʔahũ:d,ʔahũ:d,,ʔũn’,ʔũn̰ʔ,unʔ,ʔũn̰ʔ,ũn’,ʔũn̰ʔ
fill,Inchar,puh pu:h,pu:h,dapu:h,ʔĩ̌k pux pot boil oveɾ,,puhú,puhû:,puhu,puh
wash,Lavar,c ʼ ɨ̰:t c ʼ ɨ̰:d,c ʼ ɨ̰:d,,cid,c ʼ id,,c ʼ idn ,siidn,c ʼ idn
hang; suspend,Pendurar 1,dʌk dʌg,dʌg,,dak stick against,dak,,dʼak,,
want,Querer,,,,tuk,tuk ,tút,tuk ,tuk,tuk 
scratch,Rasgar 1,ʃɛ̃:t ʃɛ̰̃:d,ʃɛ̰̃:d,kasẽ:t,xǎk,,,,,
clear brush/trees,Roçar 2,,,,,,,bʼɔ̰t,,bʼɔ̰t
blow,Soprar 3,pahu:ɟɲ pahu:j,pahu:j,pahu:ɟɲ,hũ̌t,    hũ̌:t,,pũhũ̌:t,pũhut,pũhũt
man,Homem 2,mãɾahud,mãɾahud,,xut,xut,,,,
hair,Cabelo,,,,pat,pǎ:t  pat,pã̀,pǎ̃:t,pãt,pǎ̃:t
liver,Figado,ho:h,ho:h,ho:h,tǔt,,hᴐ́,hɔ̂:,hᴐ,hɔ̂:h
ant sp.,Formiga 2 (sp.),kaɾaʔwaʔ,kaɾaʔwɛ̃t,kaɾewa,xaw’,xawʔ,,,,
cricket,Grilo 2,,,,,dǐ:t,,,,dî:dʔ
above,Acima 2,sakut,sukut,,,xô:d,,,,hǒ:dn
under,Embaixo,ʔɨ:t ʔɨt,ʔɨt,ɨt hẽ,bɨ̌t,,,,,
far,Longe 1,,0,,hɔ̃t,hɔ̃̌t,,hɔt,hᴐt,hɔt
village,Aldeia,,,,nĩh xɔ̌t,jɛ̃m,hãyám,hããm,yãm,jã̌:m
garden,Roca 2,,,,,,,bʼɔ̰̌:t,mbᴐᴐ́t,bʼɔ̰̌:t
wind,Vento,baʔṵd,ho:d,,hǒt,hǒ:t,mbúdn,bohǒ:t,wohót,wohô:t
grandfather,Avô,ʔo:w,ʔɔ:w,o:w,xed avó: pə̌ʔ,,wʼә̀t,ʔuw,,ʔǔ:wah
uncle (mother’s brother),Tio (materno),k ʼ ɔd k ʼ ad,k ʼ ɔd,gᴐd,kɔt also sogɾo,k ʼ ɔ̰t,,k ʼ ɔ̰t,kᴐᴐt,k ʼ ɔ̰ʔ
aracu fish (familia dos anostomideos),Aracu (sp.),,,,xɔt,xɔt,pᴐhᴐ́t,pɔhɔt,wᴐhᴐt,wɔhɔt
electric eel (Electrophorus electricus),Poraque,c ʼ abud,c ʼ abud,cabud,but,but,suʼbút,c ʼ ubʼṵt,mbuut,bʼṵt
cold,Frio 1,,,,baʔ things people wateɾ,,,tut,tut,tǔ:t
half,Metade,,,,tǔt,tǔ:t,,,mih tut,mĩhtû:t
caiman,Jacare (generico),,,,xɛ̌t,xɛ̌:t,hàt,hǎ:t,hát,hâ:t
diving lizard (Uranoscodon superciliosus),Tamacuaré (sp.),,,,?,ʃәʔwәbm,wʼә̀t,cәw̰ʔәbm,wәәbm,w̰ʔә̌:bm
day,Dia 1,hewag,muwagŋ,,wə̌t,,,wagŋ,,wagŋ
circle,Peconha,põ̰:d,po̰:d,,pɔ̌t,pɔ̌:t,pᴐ̀t,pɔ̌:t,pᴐ́t,pɔ̂:t
tobacco (Nicotiana tabacum),Tabaco,hũ:t,hũ:t,hũ:t,hũ̌t,hũ̌:t,hũ̀t,hũ̌:t,hũt,hũ̌:t
tree trunk?,Cerne 1,c ʼ ɨ̰:d,c ʼ ɨ̰:d,,cǎt aɾvoɾe duɾo,c ʼ ǎ:t,,,,
spine; thorn,Espinho,,,,ʔǔt,ʔut,ùt,ʔut,,ʔud
leaf,Folha,k ʼ a̰:d,k ʼ a̰:d,gʼa:d,kɛ̌t,k ʼ ɛ̰̌:t,kʼɛ̀t,k ʼ ɛ̰̌:t,kɛɛt,k ʼ ɛ̰̂:t
banana (Musa sp.),Banana 2,,,,,,pɨhɨ́t,pɨhɨ̌:t,wɨhɨt,wɨhɨ̌:t
tree (bound form),Designativo de arvores,tә:g,tә:g,t?:g,təg bound foɾbm,tә̂:gŋ,tegŋ,tê:gŋ,teg,tê:g
long,Comprido 1,dawɨ:t dawɨd,nɨwɨ:t,daw?:t,w’ət,w̰ʔәt,wʼә́t,w̰ʔәt,wәәt,w̰ʔәt
cut (through/off),Cortar 3,k ʼ akɨ:t ,k ʼ akɨd,gakɨ:t,xɨ̌t cut thɾough/off,xɨ̌: t,kɨt,kɨt,,
vine; cord,Em forma de fio (cipo),tɨd,tɨd,tɨd,tit,tit,tɨ́t,tit,tɨt,tɨt
stand,Estar em pe,gә̰:d,gә̰:d,ag?:t,kə̌t,kә̌t,kʼet,cakʔet,,kʔedʔ
fire,Fogo,tә:g,tә:g,t?:g,bohɔ̃̂ bɔ̃hɔ̃̂ lenha: biduh bɛduh,tә̌:ʔ,tègŋ,tě:gŋ,tég,tê:gŋ
name,Nome,hʌd hʌt,hʌ̰:d,hʌd,xǎt,xǎ:t,hàt,hǎ:t,hát,hǎ:t
bird,Passaro (generico),tawә̰:d,tәwә̰:d,tawʼә:d,təwə́t,tәwә̌t,wɛ̀y,wě:t,wét,wê:t
dirty,Sujo,tә:w,,t?:w,tə̌w’ sujeiɾo dɨj peɾsodn coloɾ shade cik things,tә̌:w̰ʔ,sʼàw,c ʼ ǎ̰:w̰ʔ,saáw’,c ʼ ǎ̰:w̰ʔ
