gloss_en,gloss_pt,ndb_rc_m05,ndb_rn_m05,ndb_rc_eppsob,daw_eppsob,daw_m05,hup_ramepps,hup_m05,yhp_silva,yhp_m05
fruit,Fruta (generico),ʔag,ʔag,ag,ʔɛg,ʔɛg,ágŋ,ʔagŋ,,ʔagŋ
Ira-pixuna,Ira-pixuna,,,,ndôg,nô:g,ndògŋ,ndôgŋ,,
açaí palm (Euterpe sp.),Açai,mãnãg,mãnãg,,nã̌k,nã̌:k,,,,
bacaba palm (Oenocarpus sp.),Bacaba 1,wʌgŋ,wʌkŋ,wʌgŋ,wax wǒɾ,waxwǒ:h,,wohsiwib,,wawǒ:h
rubber,Borracha,tʌg,tʌg,bʼa: tʌg,tǎk,tǎ:k,tàk,tǎ:k,ták,tǎ:k
tree (bound form),Designativo de arvores,tә:g,tә:g,t?:g,təg bound foɾbm,tә̂:gŋ,tegŋ,tê:gŋ,teg,tê:g
curare poison,Veneno 2 (sp.),pɨ̰:bm,pɨ:bm,pʼɨ:bm,wɨbm stɾong,,nàm,pɨ̌:bm,,pɨ̌:bm
water,Agua,naʔәgŋ,naʔәgŋ,naәgŋ,ndə̌x,nә̌:x,ndèh,ndě:h,ndéh,ndê:h
tapir,anta (tapirus terrestris),tʌ̰:gŋ,tʌ̰:kŋ,tʼә:gŋ,tǎx,tǎ :x,tàh,tǎ :h,tàhtáh,tǎ :h
wing,Asa,takәg,takәg,kәg,xê,xê:,ké,kê:,ke,tәkeh
buriti palm,Buriti,c ʼ ʌ̰:g,c ʼ ʌ̰:g,cʼә:g,cǎk,c ʼ ǎ:k,sʼàk,c ʼ ǎ̰:k,saák,c ʼ â̰:k
grow; climb,Crescer 2; subir,ʃә̰:g,ʃә̰:g,asә:k,ʃǎk,ʃâ:k,sak,cak,sak,
tooth,Dente,tәg,tәg,tәg,təg,tәg,tә́gŋ,tәgŋ,tәg,tәgŋ
stand,Estar em pe,gә̰:d,gә̰:d,ag?:t,kə̌t,kә̌t,kʼet,cakʔet,,kʔedʔ
fire,Fogo,tә:g,tә:g,t?:g,bohɔ̃̂ bɔ̃hɔ̃̂ lenha: biduh bɛduh,tә̌:ʔ,tègŋ,tě:gŋ,tég,tê:gŋ
seje palm,Pataua,wʌgŋ,wʌkŋ,wʌgŋ,wax,wax,wáh,wuh,wah,wǎ:h
black,Preto,c ʼ әgŋ,c ʼ ә:h,cʌŋ?,câ,cʼ â:,sʼá,cʼ â̰:,saa,cʼ â̰:h
