gloss_en,gloss_pt,ndb_rc_m05,ndb_rn_m05,ndb_rc_eppsob,daw_eppsob,daw_m05,hup_ramepps,hup_m05,yhp_silva,yhp_m05
mosquito,Carapana,,k ʼ ɨ:j,gɨ:j,ʃɔ̃̂,,kʼí,k ʼ î:,kii,k ʼ ijǐ:h
snake sp.,Cobra (sp.),ʔawɨ̰:ʔ,ʔawɨ̰:h,awʼɨ:,,,,,,
long,Comprido 1,dawɨ:t dawɨd,nɨwɨ:t,daw?:t,w’ət,w̰ʔәt,wʼә́t,w̰ʔәt,wәәt,w̰ʔәt
cut (through/off),Cortar 3,k ʼ akɨ:t ,k ʼ akɨd,gakɨ:t,xɨ̌t cut thɾough/off,xɨ̌: t,kɨt,kɨt,,
vine; cord,Em forma de fio (cipo),tɨd,tɨd,tɨd,tit,tit,tɨ́t,tit,tɨt,tɨt
fire ant,Formiga-de-fogo,ʔɨ:h,ʔɨ:h,ɨ:h,ʔɨ̂,ʔɨ̂:,ɨ̃̀h,ʔɨ̃̌:h,,
fat; grease,Gordura 2,ʃɨ:j,ʃɨ:j,sɨ:j,,,,,,
man,Homem 1,ʔajɨ̰:ʔ ʔajɨ:ʔ,ʔajɨ̰:h,ajʼɨ:,,,tiyìʔ,tijǐ:ʔ,yí’,jî:ʔ
far,Longe 2,dawә̝:ʔ,nãwɨ:h,daw?:,,,wʼéh,,,
eye,Olho,mãtɨbm,mãtɨbm,matɨbm,tɨbm,tɨbm,tɨ̀bm,,,
father,Pai 1,ʔɨb,ʔɨb,ɨb,ʔǐp,ʔǐ:p,,ʔǐ:p,íp,ʔǐ:p
foot,Pe,c ʼ ɨ:bm,c ʼ ɨ:bm,cɨ:bm,cɨ̂bm,c ʼ ɨ̂:bm,sʼìbm,c ʼ ḭ̌:bm,siíbm,c ʼ î:bm
heavy,Pesado,jawɨk,jɨwɨkŋ,jawɨk,təw’,,yiwík,jiwik,wik,wik
peach palm,Pupunha 2,jә:ʔ,jɨ:h,j?:,,,,,,
blood,Sangue,mãjɨ:w mãjɨ:bm,mɨ̃jɨ:w,majɨ:w,jɨ̂w,jɨ̂:w,mbiyìw,mbĩjî:w,,dîw
dirty,Sujo,tә:w,,t?:w,tə̌w’ sujeiɾo dɨj peɾsodn coloɾ shade cik things,tә̌:w̰ʔ,sʼàw,c ʼ ǎ̰:w̰ʔ,saáw’,c ʼ ǎ̰:w̰ʔ
ucuqui (tree),Ucuqui,mʌ̃ʔ,mʌ̃ʔ,mʌ,mɨ̃̂,mɨ̃̂:,mɨ̀h,mɨ̃̌:h,mɨ́h,mɨ̃h
old woman,Velha,wahәh wahɨ̰:h wah,,wahʼ?:,ʔãjhən ʔãjwâ ʔãjwǎh,,wá,wâ:,wәhә́h,tәwәhә̌:h
