gloss_en,gloss_pt,ndb_rc_m05,ndb_rn_m05,ndb_rc_eppsob,daw_eppsob,daw_m05,hup_ramepps,hup_m05,yhp_silva,yhp_m05
tickle,Fazer cocegas,ʃɨ̰:t ʃɨ:d,,,ʃîd,ʃî:d,sisídn,cicî:dn,sisidn,cicidn
smoke,Fumar,ʔahũ:t ʔahũ:d,ʔahũ:d,,ʔũn’,ʔũn̰ʔ,unʔ,ʔũn̰ʔ,ũn’,ʔũn̰ʔ
wash,Lavar,c ʼ ɨ̰:t c ʼ ɨ̰:d,c ʼ ɨ̰:d,,cid,c ʼ id,,c ʼ idn ,siidn,c ʼ idn
scratch,Rasgar 1,ʃɛ̃:t ʃɛ̰̃:d,ʃɛ̰̃:d,kasẽ:t,xǎk,,,,,
hold,Segurar,tɔdn,,,haj’ idn hand tɔdn odn back,tɔdn,,,,­
be greasy; fat,Ter Gordura,ʃɨdn,ʃɨdn,,,,,,,
fish with timbo poison,Tinguijar,tә:dn,,,tedn,tedn,tә́dn,tәdn,tәdn,tәdn
come,Vir,,,,nɛ̃̂d,nɛ̃d,nɛ́n,nɛ̃n,nɛdn,nɛ̃n
man,Homem 2,mãɾahud,mãɾahud,,xut,xut,,,,
old man,Velho,hәdna̰:ʔ,wah,wahʼ?:,xuthədn xutwâ xutwǎh,hә̌dn,wәhә́dn,wәhә̌dn,,wah
mouth,Boca,nɔ̃:h,nɔ̃:h,no:h,nɔ̃h,nɔ̃h,,nɔ̃hk ʼ ǒ̰:dn,nᴐhkoódn,nɔ̃hk ʼ o̰dn
tongue,Lingua,nãk ʼ a̰:d,nãk ʼ a̰:d,nagʼa:d,nɔ̃hkɛ̂d,nɔ̃hk ʼ ɛd,,nɔ̃hk ʼ ɛ̰̌:dn,,nɔ̃hk ʼ ɛ̌̂:dn
pubic hair,Pubis,ʃә:dn,ʃә:dn,sә:dn,câdn,ʃadn,sán,cãn,sãn,cã̌:n
breast,Seio,,,,pûdn,pû:dn,pùdn,pû:dn,púdn,pû:dn
eyebrow,Sobrancelha 1,k ʼ ә:dn,k ʼ ɨ:dn,,tɨm bɔk cɛ̃̂n,,,,,
Chigoe flea (Tunda penetrans),bicho-do-pé,dɛdn,dɛdn,dɛdn,dɛdn,dɛdn,nʼán,nʔǎ̃n,naadn,nʔǎ̃n
wasp sp.,Caba 1 (sp.),ʔatɨ:d,ʔatɨ:d,atә:d,,,,,,
sauva ant (sp.) (comestivel),Formiga-sauva 1,,,,hǔd,hǔ:d,hùdn,hǔ:dn,húdn,hǔ:dn
above,Acima 2,sakut,sukut,,,xô:d,,,,hǒ:dn
inside,Dentro,ʃu:dn,ʃu:dn,su:dn,kɛd,,,,,
upriver,Rio acima,tak ʼ a:d,tak ʼ a:d,,xôd,,,,,
fence,Cerca 1,,,,ʃâd,ʃâ:d,,hiʃǎ:dn,,
rainbow,Arco-iris,sapahɔ̃d,mɔ̃hɔ̃d,,w’ad,,,,,
sand,Areia 1,ho:d,hu:d,ho:d,,,,,,
wind,Vento,baʔṵd,ho:d,,hǒt,hǒ:t,mbúdn,bohǒ:t,wohót,wohô:t
grandfather,Avô,ʔo:w,ʔɔ:w,o:w,xed avó: pə̌ʔ,,wʼә̀t,ʔuw,,ʔǔ:wah
uncle (mother’s brother),Tio (materno),k ʼ ɔd k ʼ ad,k ʼ ɔd,gᴐd,kɔt also sogɾo,k ʼ ɔ̰t,,k ʼ ɔ̰t,kᴐᴐt,k ʼ ɔ̰ʔ
electric eel (Electrophorus electricus),Poraque,c ʼ abud,c ʼ abud,cabud,but,but,suʼbút,c ʼ ubʼṵt,mbuut,bʼṵt
scale,Escama,pʌd ,pʌd ,,pec,pec,pés,pec,,pě:ɟ
3pl,3pl Eles,,,,hid,hid,hɨ́dn,hɨdn,,hɨ̃̌:n
sour,Azedo 2,,,,cî food going bad,,,k ʼ ĩ̂:,kii,k ʼ ḭ̌j
stink,Catinga; fedor,,,,mbudn,mudn,,mbudn,,
cooked,Cozido,tә:d,tә:d,,xǎh,,,,,
thin,Fino,ʃa̰:p ʃa:b,,sawasa:b,ʃə̌p foɾ mbateɾial e.g. wood cloth etc.,ʃә̌:p,sәsә̀w,cә̌:p,,cә̂:p
soft,Mole,,,,jûd,jû:d,,,,jû:dn
hot,Quente 2,juʔ,juʔ,baju,hɛ̃d jǔʔ comida peesoa febɾe jǔʔ ano,juʔ,,,,
now,Agora,,,,têdn,tê:dn,tɛn,tɛ̌̃:n,,
shelf; smoking grid,Jirau,,,,julâ shelf wab smoking gɾid,wab,wәgŋ,wabm,wabm,wǎ:bm
circle,Peconha,põ̰:d,po̰:d,,pɔ̌t,pɔ̌:t,pᴐ̀t,pɔ̌:t,pᴐ́t,pɔ̂:t
clothes,Roupa,,,,jûdn,jû:dn,yùh,jǔ:dn,yúdn,jû:dn
cotton (kapok),Algodão 1 (sp.),kawad,kawad,kawad pu:w,,,,,,
embauba (tree) (Cecropia sp.),Embauba 1,c ʼ akod,c ʼ akod,,,,,,,
tree trunk?,Cerne 1,c ʼ ɨ̰:d,c ʼ ɨ̰:d,,cǎt aɾvoɾe duɾo,c ʼ ǎ:t,,,,
spine; thorn,Espinho,,,,ʔǔt,ʔut,ùt,ʔut,,ʔud
leaf,Folha,k ʼ a̰:d,k ʼ a̰:d,gʼa:d,kɛ̌t,k ʼ ɛ̰̌:t,kʼɛ̀t,k ʼ ɛ̰̌:t,kɛɛt,k ʼ ɛ̰̂:t
root,Raiz 1,,,,tǐʃ ɾoots in/odn gɾound,tǐ:ʃ,tìh,tǐ:h,,tî:jʰ
root,Raiz 2,kɔbm,kɔbm,kᴐbm,xɔbm ɾoots extending fɾobm tɾunk to gɾound,xɔbm,,,,
pineapple (Ananas comosus),Abacaxi,mãwã:d,mãwã:d,mawã:d,wã̌n,wã̌:n,,,,
inga (Inga sp.),Inga 2,,,,mbîdn,mĩ̂:n,mìn,mĩ̌:n,mídn,mĩ̂:n
dioscorea (tuber) (Dioscorea sp.),Cara 1,mãnãʔɨ:dn,ʔɨ:dn,manaɨ:dn,ʔîdn,ʔĩ̌:n,,,,
tree (bound form),Designativo de arvores,tә:g,tә:g,t?:g,təg bound foɾbm,tә̂:gŋ,tegŋ,tê:gŋ,teg,tê:g
stump,Toco,,,,ndɨd,nɨd,ndó,dɨdn,,
1pl,1pl Nos,ʔә:ɾə,,ә:ɾ,ʔid,ʔid,ɨ́n,ʔɨ̃n,ɨ̃n,ʔɨ̃̌:n
look for,Buscar,hɨ:dn,hɨ:dn,eh?:dn,,,NF,,,
long,Comprido 1,dawɨ:t dawɨd,nɨwɨ:t,daw?:t,w’ət,w̰ʔәt,wʼә́t,w̰ʔәt,wәәt,w̰ʔәt
cut (through/off),Cortar 3,k ʼ akɨ:t ,k ʼ akɨd,gakɨ:t,xɨ̌t cut thɾough/off,xɨ̌: t,kɨt,kɨt,,
vine; cord,Em forma de fio (cipo),tɨd,tɨd,tɨd,tit,tit,tɨ́t,tit,tɨt,tɨt
hide,Esconder,jәdn,jәdn,kejәdn,jêdn,jê:dn,yә́dn,jә̂:dn,yәdn,jәdn
stand,Estar em pe,gә̰:d,gә̰:d,ag?:t,kə̌t,kә̌t,kʼet,cakʔet,,kʔedʔ
name,Nome,hʌd hʌt,hʌ̰:d,hʌd,xǎt,xǎ:t,hàt,hǎ:t,hát,hǎ:t
bird,Passaro (generico),tawә̰:d,tәwә̰:d,tawʼә:d,təwə́t,tәwә̌t,wɛ̀y,wě:t,wét,wê:t
dirty,Sujo,tә:w,,t?:w,tə̌w’ sujeiɾo dɨj peɾsodn coloɾ shade cik things,tә̌:w̰ʔ,sʼàw,c ʼ ǎ̰:w̰ʔ,saáw’,c ʼ ǎ̰:w̰ʔ
vomit,Vomitar,hә:dn,hә:dn,ehә:dn,xâdn,xâ:dn,hohòʔ,hɔ̃̌:n,hᴐ̃n,hɔ̃n
