How old are you?,What year are you in school?,What is your major?,What is your hometown?,How many miles is your hometown from Austin?,How tall are you in inches?,What is your favorite color?,How many pairs of shoes do you own?,How many MINUTES did you spend exercising yesterday?,How many MINUTES did you spend on the computer yesterday?,How many HOURS did you sleep last night?,How many siblings do you have?,How much cash do you have on you right now?,Did you eat breakfast this morning?
21,Senior,Engineering,"Frisco, TX (Born in Cupertino, CA)",200,74,Yellow,8,60,90,7.5,1,0,No
21,Senior,Natural Sciences (& Math) / Geosciences,Austin,10,66,blue,9,0,120,9,1,20,no
21,Senior,Natural Sciences (& Math) / Geosciences,San Antonio,65,68,Red,8,192,65,10,0,320,no 
21,Senior,Natural Sciences (& Math) / Geosciences,San Antonio,100,65,green,15,0,90,10,0,0,yes
21,Senior,Fine Arts / Architecture,"Rochester, Minnesota",1139,69,Blue,4,0,240,6,3,13,No
21,Senior,Business,Houston,165.2,65.5,Pink,51,0,10,8,2,196.5,Yes
21,Junior,Liberal Arts,"Lewisville, Texas",231,75,black,8,180,?,8,2,44,yes
21,Senior,Liberal Arts,Nacogdoches,227,71,Mint Green,12,30,180,8,1,45,Yes
21,Senior,Engineering,"Fort Worth, Texas, USA",196,71,Blue,25,0,120,9,1,53,Yes
21,Senior,Liberal Arts,"El Paso, TX",580,72,blue,6,30,300,7,3,0,Yes
21,Senior,Natural Sciences (& Math) / Geosciences,"Red Oak, TX",178,74,Green,3,27,180,7,1,0,No
21,Senior,Engineering,Albuquerque,694,71,Blue,8,15,60,8,1,4,Yes
21,Senior,Liberal Arts,"needville, texas",150,72,green,5,0,240,7,3,31,no
21,Junior,Business,Frisco TX,221,70,Green,10,40,120,8,1,20,No
21,Senior,Natural Sciences (& Math) / Geosciences,"Austin, Texas",0,68,Purple,20,60,240,8,4,25,Yes
21,Senior,Engineering,Houston,192,72,Red,5,60,300,6,2,200,yes
21,Senior,Fine Arts / Architecture,San Antonio,100,69,Blue,4,30,180,6,3,58,no
21,Senior,Engineering,LA,"1,376",69,Green,3,45,180,6,1,5,Yes
20,Junior,Liberal Arts,Leander,20,69,Dark green,6,0,90,6,2,13,Yes
20,Junior,Natural Sciences (& Math) / Geosciences,Plano,300,72,Blue,4,60,120,6,1,20,Oatmeal
20,Junior,Natural Sciences (& Math) / Geosciences,"Cedar Park / Leander, TX",20,67,grey,25,0,0,8,2,0,yes
20,Senior,Liberal Arts,Houston,165.2,71,Green,12,0,420,4,3,0,No
20,Sophomore,Business,Houston,168,64,purple,28,30,240,10,1,121,no
20,Junior,Natural Sciences (& Math) / Geosciences,"Amman, Jodan",7170,67,Gray,11,0,10,9,1,50,No
20,Junior,Natural Sciences (& Math) / Geosciences,Plano,200,56,pink,15,0,30,8,1,0,yes
20,Junior,Business,"Austin, TX",0,65,Black,18,0,120,8,1,0,no
20,Junior,Business,"Cypress, TX",136,66,Midnight blue,13,0,240,7,1,40,Yes
20,Junior,Natural Sciences (& Math) / Geosciences,Corpus Christi,217,65,green,4,0,8,7,0,22,bagel
20,Junior,Natural Sciences (& Math) / Geosciences,Corpus Christi,174,65,Lavender,5,20,120,5,1,20,No
20,Junior,Natural Sciences (& Math) / Geosciences,Palacios,167,66,Blue,8,30,360,4,5,0,No
20,Senior,Natural Sciences (& Math) / Geosciences,"Bangalore, India",9431,69,Red,5,0,120,7,1,0,Yes
20,Junior,Natural Sciences (& Math) / Geosciences,Rio Grande City,312,67,Scarlet,9,65,100,8.25,2,0,Yes
20,Senior,Engineering,Houston,?,69,Blue,5,0,180,7,2,15,"Yes. I always eat breakfast. I will take my breakfast to class if need be. If the professor gives me an ultimatum between attending class or eating breakfast, then I will eat my breakfast in ignorance."
20,Junior,Business,California,1593,72,blue,8,30,60,480,1,0,yes
20,Junior,Natural Sciences (& Math) / Geosciences,"Austin, TX",0,68,Red,6,60,300,8,1,0,No
?,Senior,Engineering,"Plano, TX",200,72,Blue,3,0,36,7,1,0,Yes
